datum;rkm;CAT
2021-10-26 00:00:00;871.28;buiten vaargeul
2021-10-26 00:00:00;893.105;niet baggerlocatie
2021-10-26 00:00:00;919.24;niet baggerlocatie
2021-10-27 00:00:00;868.28;vaargeul
2021-10-27 00:00:00;893.105;niet baggerlocatie
2021-10-27 00:00:00;919.215;niet baggerlocatie
2021-10-28 00:00:00;868.28;vaargeul
2021-10-28 00:00:00;893.11;niet baggerlocatie
2021-10-28 00:00:00;919.22;niet baggerlocatie
2021-10-29 00:00:00;876.65;niet baggerlocatie
2021-10-29 00:00:00;893.12;niet baggerlocatie
2021-10-29 00:00:00;919.22;niet baggerlocatie
2021-10-30 00:00:00;876.65;niet baggerlocatie
2021-10-30 00:00:00;893.12;niet baggerlocatie
2021-10-30 00:00:00;919.22;niet baggerlocatie
2021-10-31 00:00:00;876.58;niet baggerlocatie
2021-10-31 00:00:00;897.82;vaargeul
2021-10-31 00:00:00;919.25;niet baggerlocatie
2021-11-01 00:00:00;871.23;hotspot
2021-11-01 00:00:00;897.82;vaargeul
2021-11-01 00:00:00;919.25;niet baggerlocatie
2021-11-02 00:00:00;871.23;hotspot
2021-11-02 00:00:00;897.83;vaargeul
2021-11-02 00:00:00;919.25;niet baggerlocatie
2021-11-03 00:00:00;871.32;hotspot
2021-11-03 00:00:00;897.83;vaargeul
2021-11-03 00:00:00;919.285;buiten vaargeul
2021-11-04 00:00:00;871.225;hotspot
2021-11-04 00:00:00;897.83;vaargeul
2021-11-04 00:00:00;919.25;niet baggerlocatie
2021-11-06 00:00:00;876.61;niet baggerlocatie
2021-11-06 00:00:00;909.095;vaargeul
2021-11-06 00:00:00;919.275;hotspot
2021-11-07 00:00:00;909.095;vaargeul
2021-11-08 00:00:00;909.1;vaargeul
2021-11-09 00:00:00;909.11;vaargeul
2021-11-10 00:00:00;909.11;vaargeul
2021-11-11 00:00:00;876.65;niet baggerlocatie
2021-11-12 00:00:00;876.62;niet baggerlocatie
2021-11-13 00:00:00;876.65;niet baggerlocatie
2021-11-13 00:00:00;897.1;vaargeul
2021-11-13 00:00:00;936.765;niet baggerlocatie
2021-11-14 00:00:00;876.65;niet baggerlocatie
2021-11-14 00:00:00;897.1;vaargeul
2021-11-14 00:00:00;936.765;niet baggerlocatie
2021-11-15 00:00:00;871.29;hotspot
2021-11-15 00:00:00;893.14;niet baggerlocatie
2021-11-15 00:00:00;936.77;niet baggerlocatie
2021-11-16 00:00:00;876.49;vaargeul
2021-11-16 00:00:00;897.1;vaargeul
2021-11-16 00:00:00;936.775;niet baggerlocatie
2021-11-17 00:00:00;876.51;niet baggerlocatie
2021-11-17 00:00:00;897.1;vaargeul
2021-11-17 00:00:00;936.775;niet baggerlocatie
2021-11-18 00:00:00;876.51;niet baggerlocatie
2021-11-18 00:00:00;897.1;vaargeul
2021-11-18 00:00:00;919;buiten vaargeul
2021-11-19 00:00:00;876.51;niet baggerlocatie
2021-11-19 00:00:00;897.115;vaargeul
2021-11-19 00:00:00;919.32;hotspot
2021-11-20 00:00:00;871.31;hotspot
2021-11-20 00:00:00;897.115;vaargeul
2021-11-20 00:00:00;919.32;hotspot
2021-11-21 00:00:00;876.51;niet baggerlocatie
2021-11-21 00:00:00;897.13;vaargeul
2021-11-21 00:00:00;919.33;hotspot
2021-11-22 00:00:00;871.28;hotspot
2021-11-22 00:00:00;897.135;vaargeul
2021-11-22 00:00:00;919.35;hotspot
2021-11-23 00:00:00;876.51;niet baggerlocatie
2021-11-23 00:00:00;898.87;vaargeul
2021-11-23 00:00:00;919.35;hotspot
2021-11-24 00:00:00;876.51;niet baggerlocatie
2021-11-24 00:00:00;897.16;vaargeul
2021-11-24 00:00:00;919.35;hotspot
2021-11-25 00:00:00;876.49;vaargeul
2021-11-25 00:00:00;897.14;vaargeul
2021-11-25 00:00:00;919.36;hotspot
2021-11-26 00:00:00;876.49;vaargeul
2021-11-26 00:00:00;897.14;vaargeul
2021-11-26 00:00:00;919.36;hotspot
2021-11-27 00:00:00;885.675;niet baggerlocatie
2021-11-27 00:00:00;893.19;vaargeul
2021-11-27 00:00:00;919.65;hotspot
2021-11-28 00:00:00;885.8;vaargeul
2021-11-28 00:00:00;893.19;vaargeul
2021-11-28 00:00:00;919.54;hotspot
2021-11-29 00:00:00;871.32;hotspot
2021-11-29 00:00:00;893.19;vaargeul
2021-11-29 00:00:00;919.55;hotspot
2021-11-30 00:00:00;876.4;hotspot
2021-11-30 00:00:00;893.2;vaargeul
2021-11-30 00:00:00;921.115;vaargeul
2021-12-01 00:00:00;876.52;niet baggerlocatie
2021-12-01 00:00:00;893.2;vaargeul
2021-12-01 00:00:00;919.355;hotspot
2021-12-02 00:00:00;898.92;buiten vaargeul
2021-12-03 00:00:00;876.55;niet baggerlocatie
2021-12-04 00:00:00;876.55;niet baggerlocatie
2021-12-05 00:00:00;876.55;niet baggerlocatie
2021-12-06 00:00:00;876.56;niet baggerlocatie
2021-12-07 00:00:00;876.56;niet baggerlocatie
2021-12-08 00:00:00;876.565;niet baggerlocatie
2021-12-09 00:00:00;936.81;niet baggerlocatie
2021-12-10 00:00:00;936.84;niet baggerlocatie
2021-12-11 00:00:00;876.63;niet baggerlocatie
2021-12-12 00:00:00;876.61;niet baggerlocatie
2021-12-13 00:00:00;876.63;niet baggerlocatie
2021-12-14 00:00:00;936.86;vaargeul
2021-12-15 00:00:00;936.86;vaargeul
2021-12-16 00:00:00;936.86;vaargeul
2021-12-17 00:00:00;936.86;vaargeul
2021-12-18 00:00:00;936.86;vaargeul
2021-12-19 00:00:00;936.86;vaargeul
2021-12-20 00:00:00;936.885;vaargeul
2021-12-21 00:00:00;938.885;buiten vaargeul
2021-12-22 00:00:00;876.62;niet baggerlocatie
2021-12-23 00:00:00;876.6;niet baggerlocatie
2021-12-24 00:00:00;876.6;niet baggerlocatie
2021-12-25 00:00:00;876.64;niet baggerlocatie
2021-12-26 00:00:00;876.64;niet baggerlocatie
2021-12-27 00:00:00;876.64;niet baggerlocatie
2021-12-28 00:00:00;876.615;niet baggerlocatie
2021-12-29 00:00:00;876.62;niet baggerlocatie
2021-12-30 00:00:00;936.9;vaargeul
2021-12-31 00:00:00;936.92;vaargeul
2022-01-01 00:00:00;936.92;vaargeul
2022-01-17 00:00:00;918.49;hotspot
2022-01-18 00:00:00;918.49;hotspot
2022-01-19 00:00:00;936.385;vaargeul
2022-01-20 00:00:00;936.385;vaargeul
2022-01-21 00:00:00;936.385;vaargeul
2022-01-22 00:00:00;936.44;vaargeul
2022-01-23 00:00:00;936.42;vaargeul
2022-01-24 00:00:00;936.44;vaargeul
2022-01-25 00:00:00;936.44;vaargeul
2022-01-26 00:00:00;870.92;hotspot
2022-01-27 00:00:00;936.475;vaargeul
2022-01-28 00:00:00;876.755;vaargeul
2022-01-29 00:00:00;876.46;vaargeul
2022-01-30 00:00:00;860.78;buiten vaargeul
2022-01-31 00:00:00;916.925;vaargeul
2022-02-01 00:00:00;876.46;vaargeul
2022-02-02 00:00:00;916.925;vaargeul
2022-02-03 00:00:00;916.925;vaargeul
2022-02-04 00:00:00;916.96;vaargeul
2022-02-05 00:00:00;916.96;vaargeul
2022-02-06 00:00:00;936.465;vaargeul
2022-02-07 00:00:00;936.465;vaargeul
2022-02-08 00:00:00;936.69;niet baggerlocatie