Datum,Baggervak,Parameter,Value
2021-04-01,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-02,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-02,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-02,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-02,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-02,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-02,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-02,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-02,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-02,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-02,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-02,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-02,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-02,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-02,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-02,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-02,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-02,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-02,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-02,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-03,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-03,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-03,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-03,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-03,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-03,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-03,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-03,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-03,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-03,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-03,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-03,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-03,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-03,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-03,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-03,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-03,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-03,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-03,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-04,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-04,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-04,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-04,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-04,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-04,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-04,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-04,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-04,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-04,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-04,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-04,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-04,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-04,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-04,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-04,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-04,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-04,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-04,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-05,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-05,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-05,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-05,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-05,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-05,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-05,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-05,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-05,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-05,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-05,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-05,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-05,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-05,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-05,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-05,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-05,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-05,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-05,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-06,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-06,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-06,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-06,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-06,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-06,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-06,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-06,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-06,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-06,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-06,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-06,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-06,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-06,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-06,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-06,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-06,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-06,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-06,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-07,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-07,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-07,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-07,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-07,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-07,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-07,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-07,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-07,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-07,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-07,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-07,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-07,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-07,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-07,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-07,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-07,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-07,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-07,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-08,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-08,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-08,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-08,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-08,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-08,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-08,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-08,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-08,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-08,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-08,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-08,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-08,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-08,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-08,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-08,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-08,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-08,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-08,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-09,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-09,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-09,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-09,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-09,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-09,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-09,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-09,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-09,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-09,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-09,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-09,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-09,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-09,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-09,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-09,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-09,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-09,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-09,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-10,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-10,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-10,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-10,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-10,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-10,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-10,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-10,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-10,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-10,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-10,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-10,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-10,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-10,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-10,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-10,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-10,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-10,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-10,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-11,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-11,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-11,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-11,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-11,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-11,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-11,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-11,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-11,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-11,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-11,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-11,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-11,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-11,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-11,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-11,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-11,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-11,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-11,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-12,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-12,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-12,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-12,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-12,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-12,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-12,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-12,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-12,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-12,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-12,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-12,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-12,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-12,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-12,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-12,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-12,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-12,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-12,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-13,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-13,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-13,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-13,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-13,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-13,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-13,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-13,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-13,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-13,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-13,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-13,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-13,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-13,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-13,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-13,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-13,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-13,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-13,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-14,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-14,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-14,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-14,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-14,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-14,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-14,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-14,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-14,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-14,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-14,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-14,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-14,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-14,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-14,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-14,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-14,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-14,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-14,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-15,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-15,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-15,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-15,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-15,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-15,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-15,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-15,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-15,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-15,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-15,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-15,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-15,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-15,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-15,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-15,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-15,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-15,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-15,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-16,bv.Baggervak 10,Volume cut tov MIN OHD (m3),10669.27
2021-04-16,bv.Baggervak 5,Volume cut tov MIN OHD (m3),5421.96
2021-04-16,bv.Baggervak 2,Volume cut tov MIN OHD (m3),148.03
2021-04-16,bv.Randvak 3B,Volume cut tov MIN OHD (m3),1233.22
2021-04-16,bv.Randvak 3A,Volume cut tov MIN OHD (m3),12858.45
2021-04-16,bv.Randvak 2C,Volume cut tov MIN OHD (m3),2903.91
2021-04-16,bv.Randvak 2B,Volume cut tov MIN OHD (m3),7232.17
2021-04-16,bv.Randvak 2A,Volume cut tov MIN OHD (m3),7879.87
2021-04-16,bv.Randvak 1B,Volume cut tov MIN OHD (m3),7807.24
2021-04-16,bv.Randvak 1C,Volume cut tov MIN OHD (m3),7776.74
2021-04-16,bv.Randvak 1A,Volume cut tov MIN OHD (m3),9375.69
2021-04-16,bv.Randvak 1D,Volume cut tov MIN OHD (m3),7164.23
2021-04-16,bv.Baggervak 1,Volume cut tov MIN OHD (m3),18.46
2021-04-16,bv.Baggervak 6,Volume cut tov MIN OHD (m3),1192.42
2021-04-16,bv.Baggervak 4,Volume cut tov MIN OHD (m3),4403.62
2021-04-16,bv.Baggervak 3,Volume cut tov MIN OHD (m3),1971.57
2021-04-16,bv.Baggervak 7,Volume cut tov MIN OHD (m3),320.69
2021-04-16,bv.Baggervak 8,Volume cut tov MIN OHD (m3),472.86
2021-04-16,bv.Baggervak 9,Volume cut tov MIN OHD (m3),354.32
2021-04-17,bv.Baggervak 10,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 5,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 2,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 3B,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 3A,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 2C,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 2B,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 2A,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 1B,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 1C,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 1A,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Randvak 1D,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 1,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 6,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 4,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 3,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 7,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 8,Volume cut tov MIN OHD (m3),None
2021-04-17,bv.Baggervak 9,Volume cut tov MIN OHD (m3),None
